"Education","Occupation","Duration","age","que_6","que_15","que_24","Location","Point","Slope","Slope_scaled","Slope_scaled_alt","que_6_scaled","que_6_delta","que_6_scaled_alt","que_6_delta_alt","que_15_scaled","que_15_delta","que_15_scaled_alt","que_15_delta_alt","que_24_scaled","que_24_delta","que_24_scaled_alt","que_24_delta_alt"
4,5,33,4,3,5,3,"Kendrick",30,0.0342746204903074,0.0357318016469051,-0.42598917774572,0.333333333333333,0.297601531686428,-0.895032081436687,-0.469042903690967,0.6,0.564268198353095,0.219739214432464,0.645728392178184,0,-0.0357318016469051,-1.6724163860729,-1.24642720832718
2,5,21,3,5,6,5,"Kendrick",31,0.0555292679249989,0.11833976120067,-0.0259041851035255,0.666666666666667,0.548326905465997,0.493810803551276,0.519714988654801,0.8,0.68166023879933,1.0437612685542,1.06966545365773,0.5,0.38166023879933,0.0576695305542377,0.0835737156577633
4,4,23,2,4,5,5,"Kendrick",32,0.0498479558569124,0.096258868117175,-0.132845864749945,0.5,0.403741131882825,-0.200610638942706,-0.0677647741927608,0.6,0.503741131882825,0.219739214432464,0.352585079182409,0.5,0.403741131882825,0.0576695305542377,0.190515395304183
2,1,24,1,5,5,3,"Kendrick",33,0.0472298867754975,0.0860835243270217,-0.182126858584029,0.666666666666667,0.580583142339645,0.493810803551276,0.675937662135304,0.6,0.513916475672978,0.219739214432464,0.401866073016493,0,-0.0860835243270217,-1.6724163860729,-1.49028952748887
4,1,27,2,5,5,3,"Kendrick",34,0.0409756185577166,0.0617757893923285,-0.29985352808451,0.666666666666667,0.604890877274338,0.493810803551276,0.793664331635785,0.6,0.538224210607672,0.219739214432464,0.519592742516974,0,-0.0617757893923285,-1.6724163860729,-1.37256285798839
4,3,16,2,4,6,4,"Kendrick",35,0.0875640084826908,0.242845451564927,0.577098945374175,0.5,0.257154548435073,-0.200610638942706,-0.777709584316881,0.8,0.557154548435073,1.0437612685542,0.466662323180029,0.25,0.00715454843507271,-0.807373427759331,-1.38447237313351
3,3,17,1,2,4,4,"Kendrick",36,0.094181960943508,0.26856667563565,0.701671393340111,0.166666666666667,-0.101900008968984,-1.58945352393067,-2.29112491727078,0.4,0.13143332436435,-0.604282839689276,-1.30595423302939,0.25,-0.0185666756356503,-0.807373427759331,-1.50904482109944
4,2,19,1,4,5,4,"Kendrick",37,0.0672312973682438,0.163820674394588,0.194367940232124,0.5,0.336179325605412,-0.200610638942706,-0.394978579174829,0.6,0.436179325605412,0.219739214432464,0.0253712742003403,0.25,0.086179325605412,-0.807373427759331,-1.00174136799146
3,1,45,4,6,6,3,"Kendrick",38,0.0276032753623194,0.00980306252312502,-0.551566657901338,0.833333333333333,0.823530270810208,1.18823224604526,1.73979890394659,0.8,0.790196937476875,1.0437612685542,1.59532792645554,0,-0.00980306252312502,-1.6724163860729,-1.12084972817156
4,7,24,3,4,4,5,"Kendrick",39,0.0472298867754975,0.0860835243270217,-0.182126858584029,0.5,0.413916475672978,-0.200610638942706,-0.018483780358677,0.4,0.313916475672978,-0.604282839689276,-0.422155981105248,0.5,0.413916475672978,0.0576695305542377,0.239796389138266
