"Education","Occupation","Duration","age","que_6","que_15","que_24","Location","Point","Slope","Slope_scaled","Slope_scaled_alt","que_6_scaled","que_6_delta","que_6_scaled_alt","que_6_delta_alt","que_15_scaled","que_15_delta","que_15_scaled_alt","que_15_delta_alt","que_24_scaled","que_24_delta","que_24_scaled_alt","que_24_delta_alt"
4,5,17,1,3,7,4,"Bovill",16,0.175076150750397,1,2.82906321819928,0.333333333333333,-0.666666666666667,-0.542007410375973,-3.37107062857526,1,0,1.59922045434892,-1.22984276385036,0.5,-0.5,-0.192142784001324,-3.02120600220061
4,4,20,2,7,3,3,"Bovill",17,0.126348274184901,0.59592716178151,1.24589676955828,1,0.40407283821849,1.45257985980761,0.206683090249323,0.333333333333333,-0.262593828448177,-0.512668758092717,-1.758565527651,0.333333333333333,-0.262593828448177,-0.82346907429139,-2.06936584384967
4,4,10,2,2,4,7,"Bovill",18,0.112579935223701,0.481754080708949,0.798564075559409,0.166666666666667,-0.315087414042282,-1.04065422792187,-1.83921830348128,0.5,0.0182459192910515,0.0153035450176931,-0.783260530541716,1,0.518245919291051,1.70183608686887,0.903272011309465
3,3,49,4,4,7,5,"Bovill",19,0.0544843367093158,0,-1.088959224539,0.5,0.5,-0.043360592830078,1.04559863170893,1,1,1.59922045434892,2.68817967888793,0.666666666666667,0.666666666666667,0.439183506288742,1.52814273082775
2,5,30,3,7,1,5,"Bovill",20,0.0983508576746488,0.363760354002049,0.336262006219449,1,0.636239645997951,1.45257985980761,1.11631785358816,0,-0.363760354002049,-1.56861336431354,-1.90487537053299,0.666666666666667,0.302906312664618,0.439183506288742,0.102921500069293
2,5,36,4,1,2,4,"Bovill",21,0.0775083539656062,0.190925208641831,-0.340909972195819,0,-0.190925208641831,-1.53930104546776,-1.19839107327194,0.166666666666667,-0.0242585419751646,-1.04064106120313,-0.699731089007309,0.5,0.309074791358169,-0.192142784001324,0.148767188194495
4,6,44,4,6,6,7,"Bovill",22,0.0586080690486243,0.034195789922388,-0.954979352175924,0.833333333333333,0.799137543410945,0.953933042261711,1.90891239443763,0.833333333333333,0.799137543410945,1.07124815123851,2.02622750341444,1,0.965804210077612,1.70183608686887,2.6568154390448
5,4,30,3,3,1,4,"Bovill",23,0.0983508576746488,0.363760354002049,0.336262006219449,0.333333333333333,-0.0304270206687157,-0.542007410375973,-0.878269416595421,0,-0.363760354002049,-1.56861336431354,-1.90487537053299,0.5,0.136239645997951,-0.192142784001324,-0.528404790220773
6,6,40,4,3,3,6,"Bovill",24,0.0632633889177196,0.0727997358544843,-0.803728225635715,0.333333333333333,0.260533597478849,-0.542007410375973,0.261720815259742,0.333333333333333,0.260533597478849,-0.512668758092717,0.291059467542998,0.833333333333333,0.760533597478849,1.07050979657881,1.87423802221452
1,6,21,1,3,4,2,"Bovill",25,0.123100609919203,0.568996111017219,1.14038030825727,0.333333333333333,-0.235662777683886,-0.542007410375973,-1.68238771863324,0.5,-0.0689961110172191,0.0153035450176931,-1.12507676323957,0.166666666666667,-0.402329444350553,-1.45479536458146,-2.59517567283872
