"date","pdsi","coord","day","month","year"
1982-11-26,2.09,"Bovill",26,11,1982
1982-12-01,2.11,"Bovill",1,12,1982
1982-12-06,2.19,"Bovill",6,12,1982
1982-12-11,2.22,"Bovill",11,12,1982
1982-12-16,2.3,"Bovill",16,12,1982
1982-12-21,2.39,"Bovill",21,12,1982
1982-12-26,2.46,"Bovill",26,12,1982
1982-12-31,2.49,"Bovill",31,12,1982
1983-01-05,2.55,"Bovill",5,1,1983
1983-01-10,2.66,"Bovill",10,1,1983
1983-01-15,2.68,"Bovill",15,1,1983
1983-01-20,2.65,"Bovill",20,1,1983
1983-01-25,2.61,"Bovill",25,1,1983
1983-01-30,2.59,"Bovill",30,1,1983
1983-02-04,2.43,"Bovill",4,2,1983
1983-02-09,2.3,"Bovill",9,2,1983
1983-02-14,2.2,"Bovill",14,2,1983
1983-02-19,2.19,"Bovill",19,2,1983
1983-02-24,2.18,"Bovill",24,2,1983
1983-03-01,2.19,"Bovill",1,3,1983
1983-03-06,2.29,"Bovill",6,3,1983
1983-03-11,2.34,"Bovill",11,3,1983
1983-03-16,2.39,"Bovill",16,3,1983
1983-03-21,2.34,"Bovill",21,3,1983
1983-03-26,2.33,"Bovill",26,3,1983
1983-03-31,2.35,"Bovill",31,3,1983
1983-04-05,2.32,"Bovill",5,4,1983
1983-04-10,2.27,"Bovill",10,4,1983
1983-04-15,2.19,"Bovill",15,4,1983
1983-04-20,2.13,"Bovill",20,4,1983
1983-04-25,2.09,"Bovill",25,4,1983
1983-04-30,1.97,"Bovill",30,4,1983
1983-05-05,1.88,"Bovill",5,5,1983
1983-05-10,1.88,"Bovill",10,5,1983
1983-05-15,1.92,"Bovill",15,5,1983
1983-05-20,1.96,"Bovill",20,5,1983
1983-05-25,1.92,"Bovill",25,5,1983
1983-05-30,1.84,"Bovill",30,5,1983
1983-06-04,1.71,"Bovill",4,6,1983
1983-06-09,1.53,"Bovill",9,6,1983
1983-06-14,1.37,"Bovill",14,6,1983
1983-06-19,1.27,"Bovill",19,6,1983
1983-06-24,1.21,"Bovill",24,6,1983
1983-06-29,1.24,"Bovill",29,6,1983
1983-07-04,1.35,"Bovill",4,7,1983
1983-07-09,1.47,"Bovill",9,7,1983
1983-07-14,1.64,"Bovill",14,7,1983
1983-07-19,1.78,"Bovill",19,7,1983
1983-07-24,1.93,"Bovill",24,7,1983
1983-07-29,2.03,"Bovill",29,7,1983
1983-08-03,2.11,"Bovill",3,8,1983
1983-08-08,2.18,"Bovill",8,8,1983
1983-08-13,2.27,"Bovill",13,8,1983
1983-08-18,2.38,"Bovill",18,8,1983
1983-08-23,2.45,"Bovill",23,8,1983
1983-08-28,2.53,"Bovill",28,8,1983
1983-09-02,2.6,"Bovill",2,9,1983
1983-09-07,2.64,"Bovill",7,9,1983
1983-09-12,2.73,"Bovill",12,9,1983
1983-09-17,2.78,"Bovill",17,9,1983
1983-09-22,2.84,"Bovill",22,9,1983
1983-09-27,2.85,"Bovill",27,9,1983
1983-10-02,2.83,"Bovill",2,10,1983
1983-10-07,2.8,"Bovill",7,10,1983
1983-10-12,2.71,"Bovill",12,10,1983
1983-10-17,2.62,"Bovill",17,10,1983
1983-10-22,2.55,"Bovill",22,10,1983
1983-10-27,2.45,"Bovill",27,10,1983
1983-11-01,2.37,"Bovill",1,11,1983
1983-11-06,2.36,"Bovill",6,11,1983
1983-11-11,2.4,"Bovill",11,11,1983
1983-11-16,2.52,"Bovill",16,11,1983
1983-11-21,2.63,"Bovill",21,11,1983
1983-11-26,2.74,"Bovill",26,11,1983
1983-12-01,2.82,"Bovill",1,12,1983
1983-12-06,2.86,"Bovill",6,12,1983
1983-12-11,2.93,"Bovill",11,12,1983
